iter	Logloss
0	0.6065132421
1	0.5406308121
2	0.4938348557
3	0.4595834593
4	0.4310433748
5	0.4101734046
6	0.3945423837
7	0.3819226205
8	0.3729790012
9	0.3651839556
10	0.358407658
11	0.3537047448
12	0.3495439032
13	0.34514762
14	0.3417960044
15	0.3393311527
16	0.3376318724
17	0.3356161093
18	0.3341667774
19	0.332509766
20	0.3314291683
21	0.3305080719
22	0.3294543662
23	0.3287326714
24	0.3281406475
25	0.3275934145
26	0.3267611745
27	0.3263568064
28	0.3257314374
29	0.3252617076
30	0.3249236035
31	0.3246089672
32	0.3244119478
33	0.3241287315
34	0.3239401878
35	0.3237604158
36	0.3235742984
37	0.3232742465
38	0.3229909553
39	0.3228036402
40	0.3226778812
41	0.3225088749
42	0.3223905905
43	0.3222571945
44	0.3221818863
45	0.3220798055
46	0.3218913864
47	0.3217388191
48	0.3216264063
49	0.3214938388
50	0.3214303711
51	0.3213772071
52	0.3212995421
53	0.3212117654
54	0.321132353
55	0.3210426607
56	0.3210049579
57	0.3209064943
58	0.3208491981
59	0.3208007588
60	0.3207766843
61	0.3207254096
62	0.3206677355
63	0.3206081339
64	0.320556425
65	0.3205084961
66	0.32043715
67	0.3203569875
68	0.3203114981
69	0.3202412788
70	0.3201901611
71	0.3201363689
72	0.3200657072
73	0.3200237783
74	0.3199911888
75	0.3199628612
76	0.3199178733
77	0.3198769536
78	0.3198489463
79	0.3198227313
80	0.3198000736
81	0.3197682538
82	0.3197502481
83	0.3197275101
84	0.3197043773
85	0.3196792902
86	0.3196564363
87	0.3196176641
88	0.3195774901
89	0.3195532757
90	0.3195251991
91	0.3195084897
92	0.3194727844
93	0.3194315014
94	0.3194177489
95	0.3193981193
96	0.3193729799
97	0.3193347749
98	0.3193090437
99	0.3192804301
100	0.31924559
101	0.3192241112
102	0.3191955828
103	0.3191648011
104	0.3191379792
105	0.3191065896
106	0.3190772778
107	0.3190495998
108	0.3190315565
109	0.3190005427
110	0.3189717824
111	0.3189454668
112	0.3189165998
113	0.3188900602
114	0.318872525
115	0.3188447685
116	0.3188358047
117	0.3188180731
118	0.3187875968
119	0.3187661694
120	0.3187312949
121	0.3187108803
122	0.3186886053
123	0.3186630186
124	0.3186390563
125	0.3185977784
126	0.3185709488
127	0.3185539516
128	0.3185183424
129	0.318499276
130	0.3184765983
131	0.3184521578
132	0.3184288304
133	0.3184062226
134	0.3183887084
135	0.3183656225
136	0.3183387094
137	0.3183122851
138	0.3182804151
139	0.3182622734
140	0.3182410329
141	0.3182114326
142	0.3181934962
143	0.3181677342
144	0.3181480934
145	0.3181189714
146	0.3181012864
147	0.3180828009
148	0.3180643306
149	0.3180497466
150	0.3180274642
151	0.3180047205
152	0.3179812029
153	0.3179674594
154	0.3179459607
155	0.31792257
156	0.3178997116
157	0.3178826803
158	0.3178597273
159	0.3178401672
160	0.3178258567
161	0.3178033273
162	0.317775111
163	0.3177629153
164	0.3177388931
165	0.3177224605
166	0.3177063108
167	0.3176910743
168	0.3176658215
169	0.3176433462
170	0.3176242587
171	0.3176087922
172	0.3175844724
173	0.3175676543
174	0.317550838
175	0.317528649
176	0.3175052068
177	0.3174813356
178	0.317457664
179	0.3174387572
180	0.3174201678
181	0.3174027401
182	0.317377747
183	0.3173591962
184	0.3173425758
185	0.317320989
186	0.3173053398
187	0.3172815132
188	0.3172579802
189	0.317239665
190	0.3172177733
191	0.3172038011
192	0.3171885714
193	0.3171678937
194	0.3171542884
195	0.3171398741
196	0.3171204518
197	0.3171036847
198	0.3170901239
199	0.3170697924
200	0.3170461136
201	0.3170251401
202	0.3170126502
203	0.3169942093
204	0.3169733924
205	0.3169609643
206	0.3169437129
207	0.3169289935
208	0.3169135512
209	0.3168921843
210	0.3168809239
211	0.3168623348
212	0.3168505387
213	0.3168244671
214	0.3168001866
215	0.3167804139
216	0.3167615414
217	0.3167503368
218	0.3167298316
219	0.3167091169
220	0.3166967865
221	0.3166846105
222	0.31666412
223	0.3166476826
224	0.3166281896
225	0.3166135614
226	0.3165946453
227	0.3165809912
228	0.31656631
229	0.3165486874
230	0.3165292199
231	0.3165040196
232	0.3164898163
233	0.3164711117
234	0.3164529729
235	0.3164311127
236	0.3164173944
237	0.3164015561
238	0.3163834161
239	0.316366729
240	0.3163428207
241	0.316330104
242	0.3163168389
243	0.3162939205
244	0.3162831938
245	0.3162623537
246	0.3162513196
247	0.3162335125
248	0.31622365
249	0.3162006618
250	0.3161895985
251	0.3161809319
252	0.3161529767
253	0.3161371848
254	0.3161141092
255	0.3161027568
256	0.3160851532
257	0.3160631073
258	0.3160553372
259	0.3160353321
260	0.3160236077
261	0.316010387
262	0.3160032542
263	0.3159885486
264	0.3159693224
265	0.315959337
266	0.3159452808
267	0.3159267324
268	0.3159104677
269	0.3158977308
270	0.3158878041
271	0.3158669825
272	0.3158539111
273	0.3158396075
274	0.3158256642
275	0.3158119168
276	0.3157993721
277	0.3157827955
278	0.3157630448
279	0.3157528882
280	0.3157318322
281	0.3157142202
282	0.3157053859
283	0.3156929901
284	0.3156748115
285	0.3156613405
286	0.315646873
287	0.3156327071
288	0.3156185595
289	0.3156001271
290	0.3155898628
291	0.3155760252
292	0.3155553503
293	0.3155332173
294	0.3155218851
295	0.3155023691
296	0.3154949479
297	0.3154859914
298	0.3154778477
299	0.3154550973
