iter	Passed	Remaining
0	25	7753
1	49	7403
2	63	6265
3	74	5494
4	83	4913
5	90	4457
6	99	4167
7	108	3949
8	116	3764
9	124	3613
10	133	3512
11	142	3416
12	151	3346
13	161	3291
14	169	3225
15	177	3156
16	186	3106
17	195	3065
18	203	3005
19	211	2967
20	219	2918
21	228	2884
22	237	2854
23	245	2824
24	254	2801
25	263	2779
26	273	2761
27	280	2728
28	289	2706
29	298	2684
30	306	2655
31	313	2628
32	323	2615
33	330	2588
34	339	2566
35	346	2541
36	354	2519
37	363	2504
38	372	2490
39	380	2472
40	388	2452
41	395	2430
42	404	2419
43	413	2407
44	423	2398
45	432	2386
46	441	2373
47	449	2362
48	459	2354
49	467	2337
50	476	2325
51	483	2305
52	491	2288
53	499	2276
54	507	2259
55	514	2240
56	522	2225
57	530	2213
58	539	2201
59	547	2189
60	555	2176
61	564	2167
62	572	2153
63	580	2141
64	588	2125
65	595	2113
66	603	2099
67	612	2089
68	620	2078
69	629	2068
70	637	2057
71	646	2047
72	655	2037
73	664	2029
74	672	2017
75	680	2006
76	689	1995
77	697	1985
78	704	1972
79	713	1962
80	722	1953
81	731	1944
82	737	1928
83	745	1917
84	753	1906
85	762	1897
86	771	1887
87	778	1875
88	787	1867
89	795	1856
90	802	1843
91	811	1834
92	820	1825
93	827	1812
94	834	1801
95	843	1791
96	850	1779
97	859	1771
98	868	1762
99	875	1751
100	883	1740
101	892	1731
102	899	1720
103	907	1711
104	915	1700
105	923	1690
106	930	1678
107	938	1669
108	948	1661
109	957	1653
110	965	1644
111	974	1635
112	982	1625
113	989	1615
114	998	1606
115	1007	1597
116	1015	1587
117	1023	1578
118	1031	1569
119	1040	1560
120	1048	1550
121	1055	1540
122	1063	1531
123	1071	1521
124	1079	1510
125	1087	1501
126	1096	1493
127	1104	1484
128	1113	1475
129	1123	1468
130	1130	1458
131	1139	1450
132	1147	1440
133	1155	1431
134	1163	1422
135	1172	1413
136	1180	1404
137	1187	1394
138	1196	1385
139	1203	1375
140	1212	1366
141	1221	1358
142	1228	1348
143	1236	1339
144	1243	1329
145	1252	1321
146	1261	1312
147	1269	1304
148	1278	1295
149	1287	1287
150	1295	1278
151	1304	1270
152	1312	1261
153	1320	1251
154	1328	1242
155	1336	1233
156	1344	1224
157	1352	1215
158	1361	1207
159	1369	1198
160	1377	1189
161	1386	1181
162	1395	1172
163	1403	1164
164	1413	1156
165	1421	1147
166	1429	1138
167	1438	1130
168	1446	1121
169	1453	1111
170	1461	1102
171	1470	1094
172	1479	1086
173	1488	1077
174	1498	1070
175	1507	1061
176	1516	1053
177	1524	1044
178	1534	1037
179	1543	1028
180	1551	1019
181	1560	1011
182	1568	1002
183	1577	994
184	1585	985
185	1594	977
186	1603	969
187	1612	960
188	1619	951
189	1628	942
190	1637	934
191	1646	926
192	1654	917
193	1662	908
194	1671	899
195	1681	892
196	1691	884
197	1703	877
198	1712	869
199	1720	860
200	1729	851
201	1738	843
202	1747	834
203	1754	825
204	1764	817
205	1773	809
206	1781	800
207	1790	792
208	1799	783
209	1808	775
210	1816	766
211	1826	757
212	1834	749
213	1843	740
214	1851	732
215	1860	723
216	1868	714
217	1876	705
218	1886	697
219	1894	689
220	1903	680
221	1911	671
222	1920	663
223	1929	654
224	1938	646
225	1947	637
226	1957	629
227	1965	620
228	1974	612
229	1983	603
230	1990	594
231	1999	586
232	2007	577
233	2016	568
234	2025	560
235	2033	551
236	2041	542
237	2050	534
238	2058	525
239	2067	516
240	2075	508
241	2084	499
242	2093	490
243	2102	482
244	2110	473
245	2119	465
246	2128	456
247	2136	447
248	2145	439
249	2153	430
250	2161	421
251	2169	413
252	2177	404
253	2185	395
254	2193	387
255	2201	378
256	2209	369
257	2218	361
258	2226	352
259	2234	343
260	2242	335
261	2251	326
262	2259	317
263	2268	309
264	2277	300
265	2285	292
266	2293	283
267	2302	274
268	2311	266
269	2319	257
270	2328	249
271	2337	240
272	2346	232
273	2354	223
274	2363	214
275	2373	206
276	2381	197
277	2390	189
278	2398	180
279	2407	171
280	2415	163
281	2423	154
282	2431	146
283	2439	137
284	2447	128
285	2456	120
286	2464	111
287	2473	103
288	2481	94
289	2491	85
290	2499	77
291	2507	68
292	2515	60
293	2524	51
294	2532	42
295	2542	34
296	2551	25
297	2559	17
298	2567	8
299	2575	0
